cargo;empresa;cidade;nivel;area;estado
Estagiário(a) de Engenharia Química - Barra da Tijuca/RJ;White Martins;Rio de Janeiro;Estágio;Engenheiro De Software;RJ
Engenheiro de Projetos (VAGA Extensiva para Pessoas);Concremat;Vitória;Pleno;Engenheiro De Software;ES
Bolsista Doutor Engenharias – Projeto Inova Talentos / Marelli;Marelli Sistemas Automotivos;Lavras;Júnior/Trainee;Engenheiro De Software;MG
Engenheiro de Pavimentação (VAGA Extensiva para Pessoas com Deficiência);Concremat;São Paulo;Pleno;Engenheiro De Software;SP
Líder de Engenharia Clínica  - Manutenção Predial  - Hospital Yutaka Takeda.;Rede D'Or;Parauapebas;Auxiliar/Operacional;Engenheiro De Software;PA
Engenheiro Técnico de Projeto (VAGA Extensiva para Pessoa Deficiência);Concremat;Barão de Cocais;Pleno;Engenheiro De Software;MG
Estágio (Engenharia da Computação, Análise e Desenvolvimento de Sistemas, TI  Ou Sistemas de Informação;FI GROUP;Brasília;Estágio;Engenheiro De Software;DF
Técnico em Equipamentos;MDR;João Pessoa;Técnico;Engenheiro De Software;PB
Devops Sr/ Sre (Site Reliability Engineer);Allied;São Paulo;Sênior;Devops;SP
11225 - Analista Desenvolvedor Fullstack .net + React;Talent Group;Não informado;Sênior;Devops;
11223 - Analista Desenvolvedor .net;Talent Group;Não informado;Pleno;Devops;
Analista Sistemas TI | Desenvolvedor Fullstack;AMAGGI;Cuiabá;Pleno;Devops;MT
Analista de Desenvolvimento de Sistemas Sênior - Dynamics 365;Sinaf Seguros;Rio de Janeiro;Sênior;Devops;RJ
Especialista PO (Product Owner) + QA (Quality Assurance);Conspiração;Rio de Janeiro;Pleno;Devops;RJ
11228 - Engenheiro de Dados Sr;Talent Group;Não informado;Sênior;Devops;
Desenvolvedor Full Stack;Inspirali;Não informado;Pleno;Devops;
Analista de Estratégia em Saúde - Sr;SulAmérica;São Paulo;Sênior;Devops;SP
11202 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - Fortaleza/ CE;Talent Group;Fortaleza;Sênior;Devops;CE
11203 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - Belo Horizonte/ MG;Talent Group;Belo Horizonte;Sênior;Devops;MG
11198 - Arquiteto(a) de Soluções Pleno (pré-Vendas) - Goiânia/ GO;Talent Group;Goiânia;Pleno;Devops;GO
11200 - Arquiteto(a) de Soluções Pleno (pré-Vendas) - São Paulo/ SP;Talent Group;Barueri;Pleno;Devops;SP
